Time (UTC),Plays
12/5/2020 00:00:00,19
12/6/2020 00:00:00,29
12/7/2020 00:00:00,21
12/8/2020 00:00:00,56
12/9/2020 00:00:00,35
12/10/2020 00:00:00,45
12/11/2020 00:00:00,15
12/12/2020 00:00:00,26
12/13/2020 00:00:00,51
12/14/2020 00:00:00,14
12/15/2020 00:00:00,21
12/16/2020 00:00:00,23
12/17/2020 00:00:00,27
12/18/2020 00:00:00,27
12/19/2020 00:00:00,24
12/20/2020 00:00:00,96
12/21/2020 00:00:00,94
12/22/2020 00:00:00,32
12/23/2020 00:00:00,27
